model,vocab_size,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std
LogisticRegression,60344,0.8520833333333334,0.010865337342004427,0.8611144215220534,0.017404142627744902,0.8400000000000001,0.0067700320038632765,0.8503442504550985,0.009940280455688141,0.9250243055555556,0.004932909747048959
BernoulliNB,60344,0.7241666666666665,0.015229722402080875,0.6570763436314756,0.014245563375309708,0.9391666666666667,0.014092945437739795,0.7730586116914022,0.010516888328676727,0.8932725694444444,0.01461485721477221
MultinomialNB,60344,0.8091666666666665,0.01632993161855453,0.7666437963316172,0.01605762905107955,0.8891666666666665,0.014092945437739804,0.8233444720077812,0.014651605941059236,0.8965781249999999,0.007537894557472093
LinearSVC,60344,0.8566666666666667,0.016687486995417312,0.872875425203255,0.017511400974619666,835,0.019112241568632837,0.8534665228125778,0.017222205629376885,0.9285555555555554,0.004380059354162684
KNeighborsClassifier,60344,0.5987500000000001,0.05369344569974172,0.8551675276987394,0.11972263392269003,0.28500000000000003,0.2005824851110718,0.37263176025299377,0.20034569431146743,0.6957465277777778,0.02769130420386161
SGDClassifier,60344,0.8458333333333334,0.01078514925462065,0.8597127089309428,0.012352820736240293,0.8266666666666668,0.014813657362192645,0.842795460401141,0.011322455752670381,0.9150607638888889,0.005595559099482661
RandomForestClassifier,60344,0.8254166666666667,0.015444794160708852,0.8219217771236812,0.030871639249998452,0.8333333333333333,0.017280367794439755,0.8269948805316284,0.011834067277042995,0.9102239583333335,0.008317018534849346
GradientBoostingClassifier,60344,0.8699999999999999,0.016061946056163675,0.9484127122405255,0.013840322236133192,0.7825,0.02435273199367077,0.8573754589288309,0.01883567373591655,0.9410121527777779,0.007321165528730736
MLPClassifier,60344,0.8387499999999999,0.00568257570707742,0.8414708431374176,0.018558922525372876,0.8358333333333332,0.015500896031448556,0.8383084943331358,0.0034962696596223496,0.90390625,0.0052610870034939744
