model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,17204,0.9539241790771484,0.8327000695894224,0.017548508860723618,0.8442746025931378,0.024687483461932967,0.816182008368201,0.020342899210207474,0.829750297186932,0.017385043381017637,0.91141485065086,0.01361154185248297,247.99763870239258
BernoulliNB,17204,0.09031987190246582,0.7179740779401531,0.025257400874251646,0.6573182034572719,0.021582613599514595,0.9114191073919107,0.025309484744496437,0.763564786158745,0.019427806315970207,0.866370830427708,0.019432587464336508,247.99763870239258
MultinomialNB,17204,0.0625002384185791,0.7989048364648573,0.02186375978938039,0.7529812453898885,0.023308152486523917,0.8904951185495118,0.033118575472320694,0.8155286314281301,0.019891179919102987,0.8908264760576475,0.013487005603650926,247.99763870239258
LinearSVC,17204,2.7577478885650635,0.822276443980515,0.01797296683842518,0.8330629323342327,0.02810894418737165,0.8069839609483962,0.019272545675347964,0.8194488378256356,0.016649991475876546,0.8978495176662017,0.0104206742971649,247.99763870239258
KNeighborsClassifier,17204,1.8747358322143555,0.6754123173277662,0.04137026108105383,0.6486065795351693,0.03988868039834311,0.7711192468619247,0.03171424683177172,0.7039903379100476,0.031552225855092146,0.7298573773826127,0.042193109095746896,247.99763870239258
SGDClassifier,17204,0.08246374130249023,0.8064196242171189,0.017132589725772574,0.8166881855949146,0.023282954437820615,0.7903138075313808,0.01853397423421721,0.8030929121353951,0.0166764272229081,0.8907150671199442,0.019492713748008268,247.99763870239258
RandomForestClassifier,17204,33.68308162689209,0.8160133959638134,0.018127394295228794,0.8452358859360176,0.030143894119438172,0.7744351464435146,0.019802266724135743,0.8079241507962461,0.01782893883225121,0.9094176618433287,0.01120434721055268,247.99763870239258
GradientBoostingClassifier,17204,85.22327303886414,0.8673347251217816,0.005524120386986627,0.9340111571687876,0.009639670932931088,0.7903068340306835,0.011374632587240453,0.8560823748596817,0.0064424365610975115,0.9359351682357044,0.011708029210411893,247.99763870239258
MLPClassifier,17204,119.29824757575989,0.8110168754349338,0.02254913232429164,0.8146758435965236,0.026696476095323357,0.8053486750348675,0.024459362085474355,0.8097809448734088,0.02218735538684472,0.8872556659693167,0.01638717372015926,247.99763870239258
