model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,223396,5.493619203567505,0.7605375782881001,0.0091823060751728,0.8512036392261944,0.02231410129898495,0.6315899581589958,0.01495228563496549,0.7248192869306597,0.009959409660876073,0.854438328103208,0.015383673179556415,3458.6915895938873
BernoulliNB,223396,0.3017861843109131,0.6145198329853863,0.012069328963309294,0.5656506410098243,0.007925378381150459,0.9841178521617853,0.005566627234528099,0.7183449066559444,0.006310667179031872,0.8511976914807067,0.02494736018922382,3458.6915895938873
MultinomialNB,223396,0.14269232749938965,0.7826287404314544,0.028155960069043008,0.7787253299163426,0.028570169252886295,0.7894037656903766,0.03878879677507836,0.7836560205130713,0.02929790499768724,0.8488281903765691,0.018664656243956062,3458.6915895938873
LinearSVC,223396,1.1834642887115479,0.777633089770355,0.01055581436536705,0.8437032182439552,0.023055434269298666,0.68168410041841,0.01214342393139825,0.7538435650605239,0.010043274632973779,0.8801734222454674,0.017731884207134566,3458.6915895938873
KNeighborsClassifier,223396,49.3168740272522,0.7509525052192068,0.01640196999570645,0.8123529981594497,0.022086467961608586,0.652479079497908,0.02585842419796288,0.7233470521571488,0.019547307725864053,0.8246711485936775,0.008241381645944023,3458.6915895938873
SGDClassifier,223396,0.20111823081970215,0.7851452679192763,0.017792001266376745,0.8382220447529501,0.03257725846279046,0.7075871687587167,0.016323021313565018,0.7670009452528412,0.016776580002857,0.8774594955834495,0.01934616802444743,3458.6915895938873
RandomForestClassifier,223396,138.3502266407013,0.7830393180236603,0.029310972170652306,0.7735687085185121,0.027661369506026892,0.7994456066945607,0.03643256102596928,0.786148256454333,0.030267236365875694,0.8696850955950721,0.02609817173790523,3458.6915895938873
GradientBoostingClassifier,223396,1285.8219690322876,0.8627487821851079,0.010704101902352374,0.9235513143930865,0.018801034409681724,0.7911541143654115,0.020724082571994647,0.8519363288191343,0.011987952263039411,0.9319681906671317,0.012974216912716111,3458.6915895938873
MLPClassifier,223396,1973.3725333213806,0.7868075852470424,0.019737582740839865,0.8038278483874558,0.02817844283586082,0.7601813110181311,0.04268415350375091,0.7803695403604645,0.02340628877111534,0.8726516736401674,0.014270535892619887,3458.6915895938873
