model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,85643,2.0738306045532227,0.8214344119693806,0.01983966629529166,0.8321925932901209,0.02611931086271587,0.8053207810320782,0.015402036014186996,0.8184369612770759,0.019166428338190128,0.9076921780567175,0.014991434282560796,1693.0651814937592
BernoulliNB,85643,0.1619861125946045,0.6478888308977035,0.011884532564993836,0.5894870393266883,0.008556996735879188,0.9724093444909343,0.011434721085231699,0.7339481582291759,0.007345615135993419,0.8701693253138074,0.018960092763847226,1693.0651814937592
MultinomialNB,85643,0.09696507453918457,0.7826409185803758,0.01288933973418598,0.7288519394877536,0.01648159595769747,0.9005578800557881,0.017333379120017055,0.805426885511201,0.010026484146573537,0.8723298683751743,0.016742053070012586,1693.0651814937592
LinearSVC,85643,5.787944078445435,0.8260342727905359,0.0211817470608874,0.8418590552249972,0.03142404523117418,0.8036645746164576,0.011082209112771345,0.8221174671950179,0.01920647512160942,0.9067128370525337,0.011939784528840982,1693.0651814937592
KNeighborsClassifier,85643,1.3998019695281982,0.5886273486430061,0.032420266172139243,0.5586271645521595,0.024275391667359,0.8605195258019526,0.03395343637474532,0.6766074166398595,0.015290348511029837,0.6340682967224547,0.03157401887160536,1693.0651814937592
SGDClassifier,85643,0.09170198440551758,0.8089257132915797,0.022879993899825497,0.8162495410989127,0.02376496157215238,0.7970013947001395,0.030488668216381753,0.8062968791223742,0.02399348688766145,0.8849597062412832,0.015637870931864722,1693.0651814937592
RandomForestClassifier,85643,94.27261734008789,0.8068310716771052,0.021626117638074312,0.8234616070882881,0.04244639522418786,0.7844735006973502,0.02145440188064751,0.8025624843429974,0.017954901910687316,0.8967952042654579,0.01970842228071838,1693.0651814937592
GradientBoostingClassifier,85643,490.9663164615631,0.853152400835073,0.006345461814169796,0.9286156023976077,0.018646085506256623,0.7652615062761505,0.01162417723851458,0.8388480572754213,0.006114958938148562,0.922068115120874,0.010033124187584086,1693.0651814937592
MLPClassifier,85643,1069.3718237876892,0.8114144050104384,0.025703902090999015,0.8074624774134401,0.030837640488630663,0.8186541143654116,0.03420020275230935,0.8125127657847392,0.02577058619910259,0.8864579120176662,0.015525402566708722,1693.0651814937592
