fold,accuracy,precision,recall,f1,roc_auc,time_sec
1,0.8866666666666667,0.8766233766233766,0.9,0.888157894736842,0.9528777777777777,3377.110677719116
2,0.9033333333333333,0.9087837837837838,0.8966666666666666,0.9026845637583892,0.9696666666666667,4824.862362384796
3,0.905,0.898360655737705,0.9133333333333333,0.9057851239669421,0.9677,2822.7073163986206
4,0.9,0.9081632653061225,0.89,0.8989898989898989,0.9643666666666667,1888.8054795265198
5,0.9083333333333333,0.9016393442622951,0.9166666666666666,0.9090909090909091,0.9601666666666667,1889.2096631526947
