model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,164396,19.195991039276123,0.71214335421016,0.020618312333430432,0.759013815514125,0.02956451552426618,0.6215446304044631,0.021701295519154735,0.6832197272857884,0.021831796446386883,0.7856739452580195,0.019623413177792384,1683.1980588436127
BernoulliNB,164396,0.4018075466156006,0.5903201113430757,0.006191553999607647,0.5499318495144001,0.0035072194660306743,0.9891283124128313,0.009014781128573447,0.7068555137362373,0.004683877552304839,0.8487305032543002,0.01870632122317116,1683.1980588436127
MultinomialNB,164396,0.18438506126403809,0.7371651009046625,0.01062870578134671,0.7386334815364006,0.009054639393980112,0.7334414225941422,0.031894676743006015,0.7356139999367234,0.01583688067592669,0.8150368288005578,0.011292317538134837,1683.1980588436127
LinearSVC,164396,1.0316226482391357,0.7722155532359082,0.012615775634608447,0.7913660208346696,0.01866380775355114,0.7393410041841004,0.02097884588757916,0.7641899177887619,0.01349394580414338,0.8572526150627615,0.013508450716383114,1683.1980588436127
KNeighborsClassifier,164396,1.5015478134155273,0.713802192066806,0.011622114441110087,0.7251999949553585,0.011948634353197889,0.6875069735006973,0.02366783329894909,0.7056454249168509,0.014770883570037845,0.7841600781613203,0.011838582469696648,1683.1980588436127
SGDClassifier,164396,0.36023783683776855,0.7734681628392484,0.010326718580764341,0.7818641789678921,0.014711054679098555,0.7585564853556483,0.02500420951976463,0.7696753119296454,0.01235754987754269,0.8604760285913529,0.01026420441420725,1683.1980588436127
RandomForestClassifier,164396,49.42397332191467,0.785133089770355,0.023157720026340135,0.7815530914839977,0.039758611092652905,0.7952928870292887,0.031248956145798323,0.7872773156283347,0.020298090813670212,0.8602920734542074,0.01855679455702769,1683.1980588436127
GradientBoostingClassifier,164396,352.65155029296875,0.835205288796103,0.012866972234876367,0.891488784262999,0.029554924236132322,0.7644246861924687,0.020593243467677616,0.8225122419090034,0.012422964570334018,0.9113027007787077,0.004813066808214453,1683.1980588436127
MLPClassifier,164396,1228.554633140564,0.7597033750869867,0.018963877727642218,0.7561346405343625,0.02218257155342277,0.7669421199442119,0.03381115027282082,0.7609998900752493,0.020441595725592662,0.8403503021850302,0.016574760238509106,1683.1980588436127
