model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,15218,15.738178253173828,0.7697146833681281,0.010383869106608577,0.7868493127543628,0.01992974530823508,0.740170850767085,0.013016074077846107,0.7625337775786754,0.008424017027460103,0.8595219519990703,0.01701068285815157,164.18244743347168
BernoulliNB,15218,0.1860673427581787,0.6987917536534446,0.02303007046444589,0.6362632214558629,0.01919182308895211,0.9289853556485357,0.01583780727461081,0.7550928666664618,0.0158552016956055,0.8590037337284985,0.019400621192887012,164.18244743347168
MultinomialNB,15218,0.13623738288879395,0.7688726513569938,0.01322696342074968,0.7525368781397749,0.015443648634763404,0.8011227336122733,0.024517435596374874,0.7757820406180388,0.01354843944413296,0.857347919572292,0.011833329415005811,164.18244743347168
LinearSVC,15218,0.37683844566345215,0.8105828114126652,0.021573575609655466,0.8183800446283567,0.027347493992264122,0.798615760111576,0.02534514391463445,0.8080997885849633,0.021609375889461685,0.8909284053928406,0.012384580978599171,164.18244743347168
KNeighborsClassifier,15218,1.4971158504486084,0.7200669798190675,0.004806745159760536,0.7302872780065185,0.010277978174164289,0.697541841004184,0.020566312524715434,0.7132368546461346,0.007860508098256197,0.7862104108554161,0.01662610061119983,164.18244743347168
SGDClassifier,15218,0.2908337116241455,0.8005732428670841,0.022038451775379275,0.815401275936563,0.038525666625591495,0.7802545327754532,0.03432624100071435,0.7962802963791776,0.021021201068757992,0.8815277632496512,0.014043834856129537,164.18244743347168
RandomForestClassifier,15218,11.797960996627808,0.8072546972860126,0.011991634208655566,0.827722432482458,0.018725019619532827,0.7761122733612273,0.01792257649211181,0.8008438862942313,0.012057742327329713,0.8939694400860067,0.006556690130751273,164.18244743347168
GradientBoostingClassifier,15218,39.10284423828125,0.8331210855949897,0.009304760349545804,0.8849615596287155,0.025775172464651244,0.766931659693166,0.028652828761789557,0.8209468144348715,0.011371929567942111,0.9121632380288238,0.004350714464640483,164.18244743347168
MLPClassifier,15218,65.4263265132904,0.7780488865692414,0.014360582872705795,0.772401883124769,0.01621212024029203,0.7885808926080893,0.03622432578104536,0.7798135700242077,0.017834347423452118,0.8647939185262669,0.013520043326296105,164.18244743347168
