Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Vocab_size_combined,total_experiment_time_sec
LogisticRegression,0.869,0.8815798719555458,0.8526666666666667,0.8666873487619945,0.9291733333333333,0.012806248474865708,0.011855589542525682,0.024166091947189133,0.014283699663945246,0.009068165998034066,1610,1043.3517696857452
BernoulliNB,0.7606666666666666,0.7413154769979996,0.8013333333333333,0.7699102353763052,0.7867133333333334,0.016213848676020427,0.01651801967862238,0.026633312473917575,0.01661853993006643,0.01460406784190158,1610,1043.3517696857452
MultinomialNB,0.761,0.741457201400342,0.8019999999999999,0.7703307742515015,0.8030022222222222,0.01688523352255195,0.0171370781622445,0.02535087112244205,0.01695350663708257,0.014042029328210406,1610,1043.3517696857452
LinearSVC,0.865,0.8731542727336048,0.8539999999999999,0.8633981104665172,0.9257977777777778,0.015018507101425075,0.012179269984659635,0.021847959477565234,0.016120749279523068,0.010385881680031081,1610,1043.3517696857452
KNN,0.8110000000000002,0.8198130519347726,0.7973333333333333,0.8083446956881113,0.8871122222222223,0.014243907079480993,0.014783013700496528,0.01806162291219211,0.014680618539547297,0.009139783745449366,1610,1043.3517696857452
SGDClassifier,0.8433333333333334,0.8909482976797859,0.7853333333333333,0.8324247147316249,0.8983577777777778,0.018499249234015466,0.027236836013520442,0.06126808123140284,0.02859374043503819,0.005221500659370053,1610,1043.3517696857452
RandomForest,0.8026666666666668,0.814469601097457,0.784,0.7988935884552602,0.8904588888888888,0.017146428199482238,0.0185015540639303,0.01913693345920976,0.017764870901441687,0.006562781892828661,1610,1043.3517696857452
GradientBoosting,0.8473333333333333,0.8575287750970224,0.834,0.8453802264786064,0.9195,0.014779866184930258,0.02464098790539685,0.013232955494186151,0.013698836938605038,0.005097668312299529,1610,1043.3517696857452
MLP,0.849,0.8578605584450496,0.8379999999999999,0.8469221273495646,0.9134466666666669,0.018245242911205342,0.02284667382278663,0.04313286965232483,0.02120694595188005,0.011585546870834195,1610,1043.3517696857452
