Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Vocab_size_combined,total_experiment_time_sec
LogisticRegression,0.8656666666666666,0.8824453402460843,0.844,0.8626292482364878,0.9322511111111111,0.004027681991198177,0.008441566513086076,0.01611072796479276,0.005536384778329596,0.005096586124402963,1610,1480.2882931232452
BernoulliNB,0.7533333333333332,0.817566878953461,0.6526666666666666,0.7257706534429385,0.8374255555555555,0.009368979548370146,0.01782727080849447,0.007118052168020863,0.008642720274674356,0.01455460709378034,1610,1480.2882931232452
MultinomialNB,0.7623333333333334,0.8199139857366017,0.6726666666666666,0.7389039824151485,0.8603033333333332,0.009104333522498438,0.01491683322056412,0.01306394529484359,0.010137551465601333,0.010745349036951993,1610,1480.2882931232452
LinearSVC,0.853,0.864118929320443,0.8386666666666667,0.8509515539908221,0.9178244444444443,0.011661903789690621,0.022278641618823036,0.012400716825158867,0.010209027323337628,0.006569572209234456,1610,1480.2882931232452
KNN,0.8296666666666667,0.8601091586240994,0.7873333333333333,0.8220329814501295,0.8949777777777779,0.016613247725836153,0.0155590455356639,0.022842455598682414,0.01825418771125058,0.010224606002249385,1610,1480.2882931232452
SGDClassifier,0.8513333333333332,0.858224141565546,0.8426666666666666,0.8498042336286249,0.9091955555555554,0.010614455552060439,0.016299188508474085,0.031721006008987494,0.01310348067564165,0.010805866262313831,1610,1480.2882931232452
RandomForest,0.7983333333333333,0.8000141293490441,0.796,0.7979047583308798,0.8859533333333334,0.006831300510639743,0.013245535260085883,0.005734883511361734,0.005005583948816142,0.011127058888411288,1610,1480.2882931232452
GradientBoosting,0.8463333333333333,0.8499795147826692,0.8413333333333334,0.8454557149746966,0.9254666666666667,0.012310790208412926,0.012565063467643462,0.022469732728470287,0.013516573252184739,0.006855665405206728,1610,1480.2882931232452
MLP,0.8543333333333333,0.8649389701772809,0.8400000000000001,0.8521264270918298,0.9257577777777778,0.012806248474865693,0.013571059556769965,0.021499353995462798,0.013900738507039224,0.009619718432264474,1610,1480.2882931232452
