Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Vocab_size_combined,total_experiment_time_sec
LogisticRegression,0.8253333333333334,0.8273860827636417,0.8226666666666667,0.8249542622401353,0.9056911111111111,0.013556466271775182,0.018772885773606262,0.007717224601860154,0.01229175585383984,0.0060339672267776265,777,863.210440158844
BernoulliNB,0.7373333333333333,0.7074528574310304,0.8099999999999999,0.754868524696703,0.7558022222222223,0.018092355660149214,0.016119370448775466,0.03602468289628345,0.019331516769530186,0.017839738413627765,777,863.210440158844
MultinomialNB,0.7370000000000001,0.7052126215279749,0.8153333333333332,0.755875368020716,0.7820022222222223,0.018024674446127705,0.016935044673766893,0.035502738548518264,0.018879883772114747,0.019244071269155807,777,863.210440158844
LinearSVC,0.827,0.8249251011387864,0.8313333333333335,0.827909873947514,0.9018133333333334,0.01674647558277397,0.025582310851255702,0.010873004286866703,0.014751294508329954,0.006671277664661614,777,863.210440158844
KNN,0.7876666666666666,0.7643294010602155,0.8326666666666667,0.7969590101727194,0.859822222222222,0.024553795814270536,0.025994517086859206,0.018547236990991423,0.021837882100195872,0.022367476940668974,777,863.210440158844
SGDClassifier,0.7843333333333333,0.7523584689256089,0.874,0.8034210502351463,0.8930955555555556,0.036554373503347344,0.06854368486351846,0.061188234163113406,0.01586824691280059,0.009186513464292641,777,863.210440158844
RandomForest,0.7776666666666666,0.8061468017444098,0.7313333333333334,0.7666820892938352,0.8625433333333332,0.020016659728003212,0.021058175110761208,0.029559732369860474,0.022636336213267504,0.0152636040919746,777,863.210440158844
GradientBoosting,0.7989999999999999,0.8080979556584197,0.7846666666666666,0.7961281656500779,0.8799622222222222,0.018517259216441526,0.0221776662670429,0.01733333333333332,0.018137696677402233,0.012607089128593329,777,863.210440158844
MLP,0.8206666666666667,0.8162215070200766,0.8300000000000001,0.8225265511989702,0.89506,0.017499206331208907,0.031222867198227502,0.018135294011647252,0.014821528328298555,0.00570956572260451,777,863.210440158844
