Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Vocab_size_combined,total_experiment_time_sec
LogisticRegression,0.868,0.874488711180794,0.86,0.8669577149032994,0.9345777777777778,0.01586050300449375,0.022237192786765118,0.020000000000000018,0.015697227134019564,0.007336050001849027,777,2098.219373703003
BernoulliNB,0.8163333333333334,0.8507862549146287,0.7673333333333334,0.8067477721746028,0.8763544444444445,0.008969082698049134,0.0077430060628270545,0.020044395171163888,0.011337054588377807,0.006539981877877224,777,2098.219373703003
MultinomialNB,0.8213333333333335,0.8523427998187693,0.7773333333333333,0.8129907517477489,0.8949955555555557,0.009741092797468294,0.00648662333248867,0.019708993998792647,0.012021934043473109,0.010439765736929877,777,2098.219373703003
LinearSVC,0.8473333333333333,0.85151659787145,0.842,0.8464616155338746,0.9157355555555556,0.010780641085864157,0.01645167861124323,0.021145002036204952,0.011308698799507353,0.007222257777690265,777,2098.219373703003
KNN,0.8576666666666666,0.8634595811223171,0.85,0.8566014971407722,0.9143066666666666,0.011234866364235119,0.015704722060736982,0.010954451150103331,0.010814614178630834,0.012312001271468549,777,2098.219373703003
SGDClassifier,0.8399999999999999,0.8646305186451084,0.8166666666666668,0.8352399439031684,0.9230866666666667,0.006324555320336777,0.054545938468792035,0.07247988226627673,0.014247417243058197,0.006812759996171253,777,2098.219373703003
RandomForest,0.8440000000000001,0.8480319924556154,0.8386666666666667,0.8431907121279305,0.9155922222222224,0.013274871834493239,0.018124504800706476,0.015143755588800704,0.012936665490756746,0.012100343633524739,777,2098.219373703003
GradientBoosting,0.8629999999999999,0.8744224911837932,0.8480000000000001,0.8608915308654677,0.9274155555555555,0.015755069730795296,0.018302890653767223,0.019618585292749534,0.016215797843958827,0.010470687125919148,777,2098.219373703003
MLP,0.8616666666666667,0.867114877466717,0.8553333333333333,0.8608874843267682,0.9271577777777777,0.01278019300845387,0.02378749294059224,0.01454494948618095,0.011424683723786369,0.008789992626297878,777,2098.219373703003
