model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,16371,10.73361086845398,0.8226931106471816,0.016014144777292884,0.829855344460665,0.022811384781228447,0.8120153417015341,0.012337329929823983,0.8207005319122365,0.014803739297182334,0.9086433490237098,0.012576318611072185,136.88683676719666
BernoulliNB,16371,0.16168808937072754,0.7029549408489909,0.024110400606105555,0.6445921869919936,0.02063567617813366,0.905568340306834,0.02181904509822291,0.7528997413916863,0.017711174901761936,0.8507210599721061,0.018675054924284257,136.88683676719666
MultinomialNB,16371,0.10910964012145996,0.7872294711203898,0.013066714276747646,0.7358019989234674,0.018213862989171783,0.8971931659693165,0.02693727564670752,0.8080839368600335,0.011258220226210732,0.8739754619944211,0.013067535227918689,136.88683676719666
LinearSVC,16371,1.9299180507659912,0.8218676061238692,0.019526976765905375,0.8276580285959237,0.027265695565697762,0.8136889818688982,0.018368968594199935,0.820343146778099,0.018053479203512687,0.8955277341933984,0.008498587668728352,136.88683676719666
KNeighborsClassifier,16371,2.418405771255493,0.6324504175365344,0.028689576072636898,0.5991567473431527,0.024023825818894902,0.8045432357043236,0.017028510520144577,0.6864645256468991,0.017266525807927022,0.7031900061018131,0.03475885772164097,136.88683676719666
SGDClassifier,16371,0.23894214630126953,0.8151931106471817,0.01426063833329743,0.8307670788821003,0.04885939469363414,0.8003103207810319,0.053979605458342836,0.8120917748356404,0.010081591282329305,0.8930337197814969,0.015014538759359713,136.88683676719666
RandomForestClassifier,16371,10.83071494102478,0.8193493389004871,0.016341236748128592,0.8385945286698486,0.021254208063807494,0.7911018131101814,0.028965664318435596,0.8137580258252225,0.017875768348946008,0.9019373401906089,0.012694429768631365,136.88683676719666
GradientBoostingClassifier,16371,30.813798189163208,0.8694180584551148,0.006033707669774699,0.9244666745432493,0.013708190687093134,0.8045083682008368,0.01072857614466266,0.8602014571419838,0.006248203526237785,0.9390963868549512,0.01082283890624731,136.88683676719666
MLPClassifier,16371,73.06670618057251,0.7980732428670841,0.027340796193341288,0.8021967009676263,0.028581611910036164,0.7910913528591352,0.03738845179048782,0.7962461216010625,0.02892698140508176,0.8768580166201765,0.01538005319939029,136.88683676719666
