model,vocab_size_text,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,113625,1.6173608303070068,0.8054166666666667,0.02035279123636635,0.7798908171746965,0.0295765507447658,0.8533333333333333,0.01695582495781316,0.8145467934012309,0.016640320607492654,0.8810798611111113,0.011999692559719062,2165.1319472789764
BernoulliNB,113625,0.1748800277709961,0.6595833333333333,0.00467707173346741,0.5992169180785627,0.0037595366337926663,0.9641666666666667,0.015046225071056504,0.7390335172433569,0.0042639626559786035,0.8852569444444445,0.01426672119890768,2165.1319472789764
MultinomialNB,113625,0.10741567611694336,0.8070833333333333,0.02035279123636635,0.801341486669687,0.025125242396400967,0.8175000000000001,0.023921166824012203,0.8090931511427918,0.019866123691496124,0.8709756944444444,0.01595442622729766,2165.1319472789764
LinearSVC,113625,0.2766554355621338,0.8216666666666667,0.02344467482772533,0.8198298211966373,0.03146281315247313,0.8258333333333333,0.016115899671511457,0.8226261495213224,0.021468821180602844,0.9036736111111111,0.010685820160741802,2165.1319472789764
KNeighborsClassifier,113625,13.772297620773315,0.74,0.013333333333333319,0.7507768807184623,0.02218095466634845,0.72,0.017756063127218762,0.7347289432280342,0.011852462209338221,0.8049375000000001,0.01683537783095564,2165.1319472789764
SGDClassifier,113625,0.14269518852233887,0.8291666666666666,0.020581815058714124,0.8356386200032931,0.03056134716244423,0.8208333333333332,0.013437096247164236,0.8279430808227712,0.01876921627638841,0.902545138888889,0.012666724727267003,2165.1319472789764
RandomForestClassifier,113625,103.9851450920105,0.8012499999999999,0.02424556087662695,0.7802152699940094,0.041387712020716526,0.8441666666666666,0.022298480267099408,0.8098910212917778,0.017761284881111034,0.8894288194444444,0.020247792381045918,2165.1319472789764
GradientBoostingClassifier,113625,705.3032939434052,0.8566666666666667,0.012247448713915898,0.9402524883215182,0.008746364697999288,0.7616666666666667,0.019790570145063174,0.8415024612315252,0.014694587873901873,0.9343454861111111,0.005159722806378045,2165.1319472789764
MLPClassifier,113625,1322.8239331245422,0.7954166666666668,0.02780762285577265,0.7955131516521872,0.04693955385437366,0.8033333333333333,0.06494655922799569,0.7965599270819326,0.029222766164832964,0.8723368055555554,0.021551030788522378,2165.1319472789764
