model,vocab_size_text,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,11335,1.1194829940795898,0.8433333333333334,0.012458263656438366,0.8588772478417912,0.01021786516765709,0.8216666666666665,0.020649186155606417,0.8397615459448687,0.013837325129741293,0.9225972222222223,0.0069308599771707585,234.38847947120667
BernoulliNB,11335,0.06281042098999023,0.7591666666666665,0.011380416903123058,0.6951937605566479,0.013245490911689745,0.9241666666666667,0.010000000000000016,0.7933542189879896,0.007269449649943751,0.9028159722222222,0.009936037968000284,234.38847947120667
MultinomialNB,11335,0.07964634895324707,0.8220833333333333,0.01153196041924836,0.7839779350540546,0.016059301179307706,0.89,0.014577379737113242,0.8334472015401438,0.009618469067149537,0.9110243055555556,0.005091312707433732,234.38847947120667
LinearSVC,11335,1.3483543395996094,0.8408333333333333,0.00598029170600303,0.8556895424642097,0.006319520437664978,0.8200000000000001,0.010671873729054758,0.8374225232788733,0.006645748293162919,0.9130486111111111,0.006661271688593639,234.38847947120667
KNeighborsClassifier,11335,1.3914079666137695,0.6958333333333333,0.018493617517643477,0.8113085194723956,0.06631624091950448,0.525,0.08607974339077819,0.629739154947683,0.040764039503528,0.776986111111111,0.012313901391780641,234.38847947120667
SGDClassifier,11335,0.08626437187194824,0.8383333333333333,0.01122682798775623,0.8697420415618037,0.01944757274704565,0.7966666666666666,0.023775571029478536,0.8312046371545652,0.012485639971351286,0.9123420138888889,0.008119870546679337,234.38847947120667
RandomForestClassifier,11335,28.914941549301147,0.8345833333333333,0.007861650943380514,0.876028610000709,0.019185947353458282,0.7808333333333334,0.03380910462516801,0.8248701064171614,0.012536022992235446,0.9263454861111111,0.0038309092451127495,234.38847947120667
GradientBoostingClassifier,11335,56.088111877441406,0.8579166666666665,0.014337208778404375,0.9478860174418186,0.013132680290360523,0.7575,0.023481671339342276,0.8418955714465296,0.017356034874361947,0.9331215277777778,0.0055424449249882836,234.38847947120667
MLPClassifier,11335,101.21924352645874,0.8350000000000002,0.010736748938937604,0.8407314363798617,0.025972385580369912,0.8283333333333334,0.012190615698606494,0.8340512090329764,0.006896942574444201,0.9119201388888889,0.004616379186128871,234.38847947120667
