Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Vocab_size,total_experiment_time_sec
LogisticRegression,0.817,0.8116406463364066,0.8266666666666665,0.8187896289723303,0.8891066666666665,0.014884742374510727,0.021698610625761488,0.019663841605003486,0.013726234930397308,0.006225489618307448,768,1549.4283816814423
BernoulliNB,0.7369999999999999,0.7071456584882589,0.8099999999999999,0.7546807028184022,0.7550611111111112,0.020880613017821112,0.0192928798074229,0.03602468289628345,0.020894267718190355,0.021208342756310224,768,1549.4283816814423
MultinomialNB,0.7363333333333333,0.7047734777079618,0.8146666666666667,0.7553430202161594,0.7767533333333333,0.021092389359408513,0.020543325690880618,0.034032664048267255,0.020277619884715846,0.02177241050640142,768,1549.4283816814423
LinearSVC,0.8136666666666666,0.8009765673328495,0.8353333333333334,0.817613821653836,0.8850066666666667,0.00832666399786451,0.013678601024975664,0.015289793254906286,0.007856031817731474,0.009267931168720918,768,1549.4283816814423
KNN,0.7623333333333333,0.7488545723054735,0.792,0.7693928302044368,0.8270700000000002,0.017146428199482224,0.026858322588236744,0.013266499161421611,0.011976970590892474,0.014492799233744597,768,1549.4283816814423
SGDClassifier,0.7823333333333333,0.8439851139174428,0.7073333333333333,0.7596160408902909,0.876751111111111,0.023678400846904056,0.0540575658046089,0.12022941034169266,0.04865311984041622,0.03033342336168978,768,1549.4283816814423
RandomForest,0.7763333333333333,0.8071214820204492,0.7266666666666666,0.7644796066198318,0.858671111111111,0.012710450643291729,0.015432338903557932,0.025121924908555707,0.015259704740976694,0.01353620540587807,768,1549.4283816814423
GradientBoosting,0.7823333333333332,0.7965926636559525,0.76,0.7773953669923304,0.8590666666666665,0.011333333333333324,0.023374828544211305,0.018973665961010265,0.009379920174505138,0.007917241694515952,768,1549.4283816814423
MLP,0.7996666666666666,0.7917381169583267,0.8153333333333335,0.8029733471514928,0.874988888888889,0.01477234653744022,0.027915042818222217,0.008589399151150078,0.010725335983713261,0.009625272803573493,768,1549.4283816814423
