Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Vocab_size,total_experiment_time_sec
LogisticRegression,0.8203333333333334,0.8254750915896659,0.8126666666666666,0.8189455337247447,0.8984644444444445,0.007845734863959855,0.011043189803997006,0.01083205120618125,0.007675662772460129,0.00901027232703919,768,2070.9212126731873
BernoulliNB,0.5900000000000001,0.6050774064199846,0.5193333333333333,0.5588850001710937,0.6889311111111112,0.026034165586355528,0.031206270502153455,0.024073960113690403,0.026769353744193567,0.02774689296364195,768,2070.9212126731873
MultinomialNB,0.593,0.6098617898411827,0.518,0.5601470843927479,0.6815822222222223,0.02842924941362717,0.03487451530759903,0.023720595832876255,0.028352441562133464,0.025434655661950245,768,2070.9212126731873
LinearSVC,0.8219999999999998,0.8269803630909506,0.8146666666666667,0.8206978403375494,0.8952311111111111,0.007408703590297609,0.011719696141506135,0.009568466729604866,0.006959084690741393,0.00859037474570252,768,2070.9212126731873
KNN,0.7073333333333334,0.6601822091919565,0.8546666666666667,0.7448885409341889,0.7953966666666666,0.012319812408384229,0.009899745794899186,0.016812693617224646,0.011170714003358367,0.011001568687248504,768,2070.9212126731873
SGDClassifier,0.8013333333333333,0.8119476797237771,0.7973333333333333,0.8001263118162578,0.8927733333333332,0.016478942792411043,0.052213226241426984,0.06890895765025362,0.01355202145941955,0.0064154543347286035,768,2070.9212126731873
RandomForest,0.781,0.7863678317081805,0.7719999999999999,0.7789460894486702,0.86926,0.012454361128179624,0.014451561354837834,0.019955506062794368,0.0132303002795181,0.014734848841110346,768,2070.9212126731873
GradientBoosting,0.7983333333333333,0.7946649386941328,0.8046666666666666,0.7996124546626291,0.8850933333333334,0.008232726023485674,0.009730412289732131,0.008055363982396379,0.007876375952562829,0.008880469901925965,768,2070.9212126731873
MLP,0.8140000000000001,0.8062702929308381,0.8300000000000001,0.8169771097889192,0.8885188888888889,0.00885688683705758,0.02945064445728217,0.027728845790780582,0.0040598005419942105,0.009034586218978093,768,2070.9212126731873
