model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,84810,9.022576332092285,0.8181028183716075,0.01667878239041301,0.8254363066138396,0.027846650851598057,0.8078277545327754,0.015933968418203725,0.8161751253968245,0.014659687897311523,0.9002099168991167,0.013276603203732982,686.6811273097992
BernoulliNB,84810,0.25531578063964844,0.639545059151009,0.014041915482062127,0.5833419185208315,0.009726407014936428,0.9749163179916318,0.01093220738128703,0.729873938332265,0.008722205578033977,0.8539578902254765,0.019604629226070636,686.6811273097992
MultinomialNB,84810,0.14251303672790527,0.7676243910925539,0.011664533959609376,0.7131503956621521,0.014226539587409288,0.8955509065550908,0.02054144744043722,0.7937741864006169,0.009679140719780547,0.8524693456531847,0.01629487122549304,686.6811273097992
LinearSVC,84810,6.973782062530518,0.8147729645093946,0.016697991876059137,0.822866829733397,0.026024730427479815,0.8028347280334728,0.005084461564930827,0.812545396630912,0.014066527728988936,0.8980564127150161,0.011015201805959789,686.6811273097992
KNeighborsClassifier,84810,2.3091514110565186,0.5761082115518441,0.035908382861043434,0.547855117045425,0.025108360941089345,0.8981276150627615,0.044460181940981426,0.679403386454836,0.015609934003592632,0.6261344941306369,0.02624280692056667,686.6811273097992
SGDClassifier,84810,0.22694826126098633,0.7930671537926235,0.016902859220660992,0.802101396088579,0.018884728041776436,0.7777475592747558,0.02211496140110161,0.7895856250107882,0.017400174210145357,0.8712921533589029,0.01212329203389179,686.6811273097992
RandomForestClassifier,84810,30.950410842895508,0.799741649269311,0.008831306065840865,0.8049183060906765,0.027880426868129957,0.7936715481171548,0.029339001772211628,0.798283167865716,0.006537351458987655,0.8840193950488144,0.01569122612192451,686.6811273097992
GradientBoostingClassifier,84810,155.80284523963928,0.8443902226861517,0.0054967029684630415,0.9007892123220589,0.03035316993341115,0.7761506276150627,0.03631863334083984,0.8325381890165943,0.009341308407754934,0.9197764411901442,0.008558368904324471,686.6811273097992
MLPClassifier,84810,453.92817425727844,0.7905654140570633,0.010299605305513994,0.7861576216561867,0.016399040140171007,0.7986227336122734,0.02664964600245056,0.791891314502511,0.011758637801798259,0.8725390516039052,0.015841398285926324,686.6811273097992
