model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,154669,5.16276741027832,0.8616666666666667,0.016801537628046617,0.8757249092797916,0.02914513370871374,0.8441666666666666,0.008975274678557474,0.8594073449039842,0.01515625691543988,0.9281458333333333,0.002569641508959573,2583.521199941635
BernoulliNB,154669,0.2791285514831543,0.6983333333333333,0.012388390622765422,0.6316299987434545,0.011629177665545961,0.9533333333333334,0.010992421631894103,0.7597053103402345,0.006967303158894918,0.9025538194444446,0.012307260196704323,2583.521199941635
MultinomialNB,154669,0.13676691055297852,0.8191666666666666,0.014154406459552522,0.7770906100560566,0.017575807159618824,0.8958333333333334,0.009128709291752787,0.8321422014555653,0.011633200348879293,0.90721875,0.005773590396349119,2583.521199941635
LinearSVC,154669,17.185199737548828,0.8637500000000001,0.023146574020551914,0.8863976586931963,0.030324002589749113,0.835,0.016372402253657107,0.8598793395653859,0.022844928368658323,0.9326458333333335,0.002055913304079006,2583.521199941635
KNeighborsClassifier,154669,2.0170798301696777,0.64375,0.050190608904676796,0.8314655625228671,0.12398186535427705,0.41916666666666663,0.2010320593559368,0.5068714369282894,0.17427997092978262,0.7303315972222222,0.021185441291009993,2583.521199941635
SGDClassifier,154669,0.15168118476867676,0.8416666666666666,0.007682953714410754,0.8533184998847269,0.016454815935182204,0.8258333333333333,0.012747548783981965,0.839146356546679,0.006668015376030683,0.9184600694444442,0.003706459387887399,2583.521199941635
RandomForestClassifier,154669,119.3787932395935,0.8320833333333333,0.014227809232469883,0.8294902527427348,0.020322508090943322,0.8366666666666667,0.01130388330520877,0.8329370288838653,0.012880793198442458,0.9183819444444445,0.007310501055659514,2583.521199941635
GradientBoostingClassifier,154669,859.9956567287445,0.86875,0.01536590742882148,0.9469460127137987,0.02073079258385595,0.7816666666666667,0.024804793443562023,0.8561014955235488,0.01773498608533149,0.9396388888888889,0.005570949267644594,2583.521199941635
MLPClassifier,154669,1574.9014592170715,0.8525,0.014337208778404376,0.8561928161354281,0.024302936212955904,0.8483333333333333,0.011960583412006088,0.8520113562308327,0.012866704655051697,0.9178055555555555,0.005670869220503113,2583.521199941635
