model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,59973,1.2974913120269775,0.8758333333333332,0.010257111354242607,0.9042416814784227,0.012627527691575928,0.8408333333333333,0.014766704288891135,0.8713025817582836,0.010911629474378829,0.9348333333333333,0.004697604849223115,947.0179271697998
BernoulliNB,59973,0.10036754608154297,0.7337499999999999,0.014636806725208574,0.6633804633032607,0.014570166512229244,0.9508333333333333,0.014288690166235199,0.78133527166237,0.009413791422464714,0.9135086805555556,0.011211321649169706,947.0179271697998
MultinomialNB,59973,0.07033371925354004,0.8366666666666667,0.014469796128487797,0.8003421126293089,0.020770180938600603,0.8983333333333334,0.020172864061517002,0.8462085160924312,0.012788862876943337,0.9207812499999999,0.005729156144771532,947.0179271697998
LinearSVC,59973,3.689924478530884,0.8675,0.012815463749358066,0.900927707146634,0.013318247551492747,0.8258333333333333,0.016115899671511422,0.8617038620822,0.01372889312162154,0.9341527777777779,0.004322120352805563,947.0179271697998
KNeighborsClassifier,59973,1.2820851802825928,0.6787500000000001,0.01065559321045368,0.8726474509465667,0.050583737032868656,0.42333333333333334,0.03984344362627308,0.567405622502245,0.027517230897476385,0.7804756944444444,0.0071644015416663966,947.0179271697998
SGDClassifier,59973,0.08175468444824219,0.8579166666666665,0.00772801541291311,0.8815272684831509,0.01624586718428896,0.8275,0.012247448713915898,0.8534822698652024,0.00724610156025394,0.9257864583333333,0.006326750965367445,947.0179271697998
RandomForestClassifier,59973,69.52465295791626,0.8420833333333333,0.01588806330411469,0.8634119939030495,0.0372072170630093,0.8158333333333333,0.02640496586292479,0.8379820336740671,0.013928557946240231,0.9302864583333331,0.005594072211218037,947.0179271697998
GradientBoostingClassifier,59973,300.6236779689789,0.8712500000000001,0.015556795585495406,0.9408551079417451,0.009041625111371436,0.7925000000000001,0.03480102169636849,0.85984290813384,0.01975830413166819,0.9394791666666666,0.010076141211827016,947.0179271697998
MLPClassifier,59973,553.3974177837372,0.8537500000000001,0.012869537676233734,0.866879890238382,0.022378525087434334,0.8366666666666666,0.015679073101855644,0.8512621855889602,0.012350366172569044,0.9241736111111111,0.00465963425152929,947.0179271697998
