model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,12176,0.8565945625305176,0.8741666666666668,0.01017212967977805,0.9030795049532128,0.008696761013071753,0.8383333333333333,0.01775606312721878,0.8694123646640012,0.011440076698079749,0.9369444444444444,0.0046017752923245975,198.22193145751953
BernoulliNB,12176,0.06303143501281738,0.8004166666666667,0.012596847048192474,0.741762540436166,0.013485992286167812,0.9225,0.02214221709264404,0.8221025657054503,0.01112573614050944,0.9233819444444444,0.007877456811064472,198.22193145751953
MultinomialNB,12176,0.07797813415527344,0.8483333333333334,0.011365151414154876,0.8175339207583046,0.016138872293519794,0.8975,0.01837117307087385,0.8554423227682559,0.010632026814711024,0.9302951388888889,0.003940367978640898,198.22193145751953
LinearSVC,12176,1.542492389678955,0.8608333333333332,0.004823265376162628,0.8791640974734399,0.004207930426955286,0.8366666666666667,0.008079466429027219,0.8573717431352499,0.005322579251496323,0.92771875,0.0026571598841039473,198.22193145751953
KNeighborsClassifier,12176,1.4117095470428467,0.76625,0.02214221709264401,0.8887841817680527,0.029206393730738255,0.6091666666666666,0.03956359156823072,0.7221057458715686,0.03091006484623449,0.8550434027777778,0.013386799179216105,198.22193145751953
SGDClassifier,12176,0.07559585571289062,0.8604166666666666,0.007569125885243746,0.8866869754064755,0.020684197250381148,0.8275,0.022142217092644044,0.8556051884400582,0.008229958442708905,0.9281354166666667,0.0038463282091516196,198.22193145751953
RandomForestClassifier,12176,27.16840648651123,0.86,0.0077280154129131095,0.9117769830068371,0.01116686654448045,0.7975,0.02245365597551247,0.8505219542120488,0.010218707917067138,0.9409236111111111,0.0049002319680857866,198.22193145751953
GradientBoostingClassifier,12176,64.22346687316895,0.8704166666666666,0.0153319745774784,0.9424091326819252,0.00939518164198914,0.7891666666666668,0.03223179934302285,0.8586151382009858,0.019317913250374026,0.9433628472222221,0.007526129973530324,198.22193145751953
MLPClassifier,12176,83.4314215183258,0.8574999999999999,0.010172129679778095,0.8621664044678565,0.024333101735704694,0.8525,0.014337208778404362,0.8569026713047709,0.007595389205932845,0.9273784722222222,0.006443026214874151,198.22193145751953
