model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,13381,0.8798458576202393,0.8654166666666667,0.016276687487187205,0.9319978888932781,0.010726197690003509,0.7883333333333333,0.029627314724385304,0.8539078824193383,0.019423790627146328,0.9386423611111111,0.009099338441306877,312.8304274082184
BernoulliNB,13381,0.10043120384216309,0.7975,0.013654974673478284,0.7407279016606791,0.016755869582359573,0.9166666666666666,0.019184774055368867,0.8191084310781628,0.010782757849576895,0.9214479166666667,0.010283392798015245,312.8304274082184
MultinomialNB,13381,0.08274054527282715,0.8462500000000001,0.00926087948787203,0.8313623760651287,0.025082791721971656,0.8708333333333333,0.022821773229381937,0.8500086735939674,0.006583312978045185,0.9269097222222221,0.00890845962951393,312.8304274082184
LinearSVC,13381,0.2913966178894043,0.8820833333333334,0.013017082793177757,0.9273261094132141,0.013243101926419068,0.8291666666666666,0.017677669529663667,0.8754400101771047,0.014173057602554323,0.9462569444444446,0.008272255918332978,312.8304274082184
KNeighborsClassifier,13381,4.884697437286377,0.8258333333333333,0.014349312798102126,0.8674648181276087,0.005808473076455686,0.7691666666666668,0.031247222098754458,0.8150465840045638,0.01831298701484211,0.8876753472222223,0.01223649168006048,312.8304274082184
SGDClassifier,13381,0.11246776580810547,0.8808333333333334,0.013906932723565532,0.9102406327912244,0.014693108564840384,0.845,0.015456030825826183,0.8763879142346365,0.014577195151470764,0.9420034722222222,0.00859154783793605,312.8304274082184
RandomForestClassifier,13381,32.373918533325195,0.8508333333333333,0.012190615698606482,0.8961192378052172,0.02152948442047499,0.7941666666666667,0.006770032003863309,0.8419669776950054,0.01157050394321473,0.9316840277777778,0.005120506607235008,312.8304274082184
GradientBoostingClassifier,13381,116.20563554763794,0.87375,0.013346347815039121,0.9445062772834166,0.01118652897593007,0.7941666666666667,0.02229848026709939,0.8626951924205655,0.015677971717590868,0.9407569444444445,0.004736082472828009,312.8304274082184
MLPClassifier,13381,154.10801124572754,0.85875,0.01798919428743574,0.8809631209892844,0.02149678686842167,0.8299999999999998,0.0246362424984908,0.8545027061833889,0.01890292798411975,0.9363368055555557,0.008962618753195067,312.8304274082184
