model,vocab_size_combined,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,12176,0.581831693649292,0.8679166666666667,0.011071108546321979,0.9360525103084498,0.007419155737450131,0.79,0.027588242262078087,0.856505748115578,0.014202046007776714,0.9386805555555556,0.009991876764309529,250.2540898323059
BernoulliNB,12176,0.07868504524230957,0.8004166666666667,0.012596847048192474,0.741762540436166,0.013485992286167812,0.9225,0.02214221709264404,0.8221025657054503,0.01112573614050944,0.9233819444444444,0.007877456811064472,250.2540898323059
MultinomialNB,12176,0.06748747825622559,0.8470833333333335,0.009185586535436918,0.8356790675736873,0.016744973926914663,0.865,0.02395017977199986,0.8497031643865514,0.009525976044303231,0.9275729166666666,0.009809672422278287,250.2540898323059
LinearSVC,12176,0.24883103370666504,0.8770833333333332,0.013110110602126886,0.9225383857460612,0.011467051513729275,0.8233333333333333,0.022142217092644047,0.8699786338959722,0.014720041484773981,0.9446423611111111,0.007987911934643361,250.2540898323059
KNeighborsClassifier,12176,3.006854772567749,0.8237500000000001,0.009912814377808611,0.8736067629706279,0.00929492392518139,0.7575000000000001,0.031001792062897143,0.8109139397921122,0.014784011919458285,0.8883020833333333,0.00691620691312808,250.2540898323059
SGDClassifier,12176,0.10699963569641113,0.86875,0.015920810978785685,0.8949370768086364,0.01922413567869827,0.8358333333333334,0.020172864061517023,0.8642517911530305,0.016669466234778375,0.938125,0.00814451153195426,250.2540898323059
RandomForestClassifier,12176,25.69516682624817,0.8566666666666667,0.0060953078493032765,0.9082973473778626,0.017384522095388138,0.7941666666666667,0.02084999333866135,0.8470266488094624,0.007626002184389227,0.9380329861111113,0.004424987930033427,250.2540898323059
GradientBoostingClassifier,12176,79.7290825843811,0.8675,0.01770710780072979,0.9348755050926141,0.014576044096077942,0.7899999999999999,0.029533408577782257,0.8561222056592314,0.020884492537128724,0.9399826388888888,0.0050526411251831166,250.2540898323059
MLPClassifier,12176,115.3436427116394,0.8629166666666667,0.016319296689638444,0.8709216240688541,0.0313059625587106,0.8541666666666667,0.025954019170662413,0.8617913995604773,0.015456279960272285,0.9340381944444445,0.011247779273272035,250.2540898323059
