Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Tempo_total_seg,Vocab_size_combined
LogisticRegression,0.7630000000000001,0.7706524686287473,0.7493333333333333,0.7597218650107123,0.8362822222222223,0.01579029237643604,0.018896735563116256,0.01781385228784985,0.01565479137269805,0.016016440010729115,1.5636227130889893,777
BernoulliNB,0.5876666666666667,0.595333976725634,0.5506666666666666,0.5718959464376494,0.6621277777777779,0.0162822329890931,0.020564284198291063,0.01356465996625053,0.012446698974785987,0.014412426479848462,0.3656613826751709,777
MultinomialNB,0.5953333333333334,0.6049162858065059,0.5513333333333332,0.5766833581652047,0.6668799999999999,0.01717232916318834,0.02073047684693073,0.019731531449264976,0.01704409706281347,0.010181933649337262,0.1498885154724121,777
LinearSVC,0.7386666666666667,0.7487278438019901,0.7193333333333333,0.7334578669567573,0.8151733333333334,0.016445195178058685,0.020852258702789835,0.023513589451397858,0.016896965912842114,0.0181403643776272,3.165799856185913,777
KNN,0.6723333333333332,0.6579313656228668,0.7220000000000001,0.6880183624901772,0.7440200000000001,0.01675310916417211,0.02383644056346792,0.013597385369580767,0.008948834154685063,0.012082174708181183,0.6285829544067383,777
SGDClassifier,0.7083333333333334,0.7084621737668637,0.7313333333333334,0.7095729155556546,0.7946111111111112,0.01972026594366538,0.042844616630994814,0.12542549802793512,0.05216114153002982,0.009294147899898375,0.6668779850006104,777
RandomForest,0.7093333333333334,0.7141082633924032,0.6993333333333334,0.706092987274354,0.7846155555555555,0.01875573986218026,0.021280972023678436,0.03586394041683405,0.021881446024545483,0.02596685741383846,52.95799160003662,777
GradientBoosting,0.74,0.7411034846336,0.7393333333333333,0.7399250245229986,0.8279266666666667,0.025970068241043275,0.03089147937604344,0.025768197453450256,0.024489506930186894,0.022484892705992583,1409.4264249801636,777
MLP,0.75,0.7630830193646977,0.738,0.743970085415049,0.8367377777777776,0.022779132751026485,0.043392987210729164,0.10030176690589476,0.04037680347758462,0.016986412289507594,18.899034023284912,777
