Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Vocab_size_combined,total_experiment_time_sec
LogisticRegression,0.8133333333333332,0.8246313237813689,0.7966666666666666,0.810094281379766,0.8842800000000001,0.015634719199411454,0.019918750240991254,0.024855135843076356,0.01607226170773083,0.009217898317008932,1610,1034.8061022758484
BernoulliNB,0.7316666666666667,0.7635737603860745,0.6713333333333333,0.7144078675815029,0.7927466666666667,0.013416407864998724,0.016232579743373984,0.01641137816678822,0.014611356101242947,0.014256799374160436,1610,1034.8061022758484
MultinomialNB,0.734,0.7608203052667332,0.6826666666666668,0.7196015038925991,0.8161811111111111,0.015260697523012788,0.017559138847350133,0.015972198067614584,0.01613709295045831,0.012986244669544907,1610,1034.8061022758484
LinearSVC,0.7929999999999999,0.7960325069107327,0.7893333333333333,0.7922920550239232,0.8694533333333332,0.014884742374510738,0.023443174500154734,0.01970899399879262,0.01322150785518457,0.008158414273422876,1610,1034.8061022758484
KNN,0.766,0.7772792105094193,0.746,0.761213510894921,0.8384622222222223,0.007118052168020889,0.011020256803519587,0.01181336343111289,0.007123866020913665,0.011717260877403726,1610,1034.8061022758484
SGDClassifier,0.7803333333333333,0.791320593210713,0.7766666666666667,0.7793398547229513,0.8476800000000001,0.02714979025906296,0.059026358833272556,0.06449806198638841,0.02178296108086026,0.018384870860117832,1610,1034.8061022758484
RandomForest,0.7743333333333332,0.7730959059756278,0.7766666666666666,0.7748287358900061,0.8600166666666667,0.01641814714136636,0.016284422082647552,0.019090428084368467,0.016634871822940003,0.012288950170632815,1610,1034.8061022758484
GradientBoosting,0.8096666666666668,0.810953545922621,0.8086666666666666,0.8095613828155497,0.8919866666666666,0.01301281419729542,0.021016686332777253,0.013759844960366849,0.011043296315103117,0.013299160652991325,1610,1034.8061022758484
MLP,0.7983333333333332,0.7949881882166423,0.804,0.7994271308572126,0.8704555555555556,0.008432740427115688,0.007060364190335607,0.013727506854649355,0.009231152855967876,0.0061733517318340245,1610,1034.8061022758484
