Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Vocab_size_combined,total_experiment_time_sec
LogisticRegression,0.7966666666666666,0.8146591971230835,0.768,0.7905911909825168,0.8661999999999999,0.014259499757471624,0.01309852743440029,0.019390719429665304,0.01565687143552293,0.010413799012682292,1610,1039.1563386917114
BernoulliNB,0.6866666666666666,0.7432189169301358,0.5713333333333332,0.6456384750831592,0.7511066666666667,0.006411794687223774,0.014344832662017363,0.020720360357226752,0.010929834125085646,0.011304569927005998,1610,1039.1563386917114
MultinomialNB,0.6973333333333332,0.7451612188843896,0.6006666666666666,0.6646973058040647,0.7756155555555556,0.006548960901462857,0.012602303718092341,0.024349309823666218,0.012530461468873577,0.011117508380594665,1610,1039.1563386917114
LinearSVC,0.777,0.7864739313269633,0.7606666666666666,0.7732045496471909,0.8564177777777777,0.01606929439092525,0.016759565279125792,0.023036203390894655,0.017439632751488292,0.006560068503105116,1610,1039.1563386917114
KNN,0.7473333333333334,0.7685747192939121,0.7080000000000001,0.7368049878604224,0.8177577777777778,0.01424390707948101,0.014567059878588695,0.0257854394744183,0.017307551640966055,0.008300728511833154,1610,1039.1563386917114
SGDClassifier,0.771,0.8058727260532368,0.726,0.7587257253035319,0.8298822222222222,0.0034318767136623284,0.05034257707923128,0.07520047281175239,0.019231309533936827,0.013784091026690816,1610,1039.1563386917114
RandomForest,0.7326666666666666,0.7368798491905056,0.7240000000000001,0.730150010369576,0.8143566666666666,0.010984838035522687,0.01021449857643245,0.02480143365031771,0.0140646961512185,0.012146220974056826,1610,1039.1563386917114
GradientBoosting,0.7953333333333333,0.7979419610625097,0.7913333333333333,0.794420674800844,0.8742822222222223,0.011709445380166876,0.013409501852958928,0.02166410241236259,0.012650016541150843,0.0120833128480031,1610,1039.1563386917114
MLP,0.7803333333333333,0.7848956467650062,0.7726666666666666,0.7785509121135544,0.8504333333333334,0.011323525167642014,0.012707232897809924,0.02059126028197397,0.012409330585881471,0.010460304742627826,1610,1039.1563386917114
