model,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std
LogisticRegression,1.6554770469665527,0.8283333333333331,0.01957003094302895,0.9296435616807697,0.008554971042836104,0.7108333333333333,0.046963342678684565,0.8046114833670774,0.027960173794923927,0.9002534722222222,0.014623882737673734
BernoulliNB,1.718691110610962,0.8262499999999999,0.019436506316150983,0.8916055095274036,0.00684135971330719,0.7425,0.03702476648587177,0.809890321884845,0.024898948381228348,0.8988055555555556,0.014331574193231469
MultinomialNB,1.507852554321289,0.8266666666666668,0.018699004726930715,0.8835951268297864,0.00782209198146535,0.7525000000000001,0.04171663670261275,0.8121797727956217,0.02460995823652787,0.8970312499999998,0.014443364551312655
LinearSVC,1.498582363128662,0.8324999999999999,0.025535922410074262,0.9198614115395081,0.02019365213590175,0.7283333333333333,0.044048584288008376,0.8123978158499241,0.031840360387708364,0.9011006944444444,0.01661135153027664
KNeighborsClassifier,3.731642007827759,0.7704166666666666,0.028607739822953098,0.8402641803257568,0.1081430598226639,0.7041666666666666,0.09287087810503357,0.7535808068545725,0.017684803927931994,0.8598072916666666,0.023073250692549147
RandomForestClassifier,3.917489528656006,0.8225000000000001,0.02279894003384075,0.9029460500164663,0.017659287251233845,0.7225,0.03949331870357595,0.8022722232853372,0.02857504265997282,0.8949253472222223,0.01642983368876598
GradientBoostingClassifier,7.141371250152588,0.825,0.02479079130107252,0.9419937836420994,0.014286774076462418,0.6933333333333332,0.05777110004145672,0.7971135530503464,0.03595310816741974,0.8980538194444445,0.017137952397372792
MLPClassifier,11.124123573303223,0.8291666666666666,0.021408720964441855,0.9061538186117358,0.007516591685549585,0.7341666666666666,0.04252450274057691,0.810586900091242,0.027909305161764316,0.9002395833333333,0.013875990755765507
