,count
relíquia,0
resmungão,0
senil,0
tia,0
tiazona,0
tiozão,0
velh*,0
decrépito,0
velharia,0
velhote,0
velhíssima,0
velhíssimo,0
defeito*,0
vetusto,0
vivido,0
pré-histórico,0
pirralho,0
obsoleto,0
defeituosa,0
dinossauro,0
fóssil,0
gagá,0
imaturo,0
inexperiente,0
defeituosos,0
jovem*,0
jovenzinho,0
juvenil,0
defeituoso,0
matusalém,0
molecote,0
defeituosas,0
moribundo,0
nov*,0
magr*,0
lambisgóia,0
loiraça,0
malign*,0
judeu,0
judeus,0
judia,0
judias,0
macumb*,0
excesso*,0
macumbeira,0
engordou,0
explodira,0
engordar,0
mulçumana,0
mulçumano,0
mulçumanos,0
oferenda*,0
pecado*,0
pecador*,0
explodir,0
idolatria*,0
pecai,0
feitiço,0
fofinha,0
exorcista,0
expuls*,0
expulsai,0
fofas,0
exu,0
feiticeira*,0
feitiços,0
idolatrei,0
fofa,0
genocídio*,0
gesso,0
fof*,0
idolatr*,0
idolatra,0
fitness,0
pecadora,0
pecais,0
loiras,0
ritual*,0
purificamos,0
purificando,0
purificar,0
quimbanda,0
ribomba,0
rito,0
cheinho,0
cheinha,0
purificais,0
cheia*,0
santas,0
santific*,0
santifica,0
santificad*,0
santificada,0
santificadas,0
purificam,0
purificai,0
pecando,0
pecou,0
pecar,0
pecaram,0
pecarei,0
pecaremos,0
pecará,0
pecarás,0
pecavam,0
pomba,0
purificados,0
praticante,0
praticante*,0
purifica,0
purificad*,0
purificada,0
purificadas,0
purificado,0
exorcisar,0
espírita,0
espirituoso,0
pesadíssim*,0
pachorra,0
pachorrento,0
pesad*,0
pesada,0
pesadas,0
gorduchinha,0
pesados,0
pesam,0
obeso,0
pesando,0
porca,0
gorducha,0
porquinha,0
porquinho,0
rolha,0
roliça,0
obesos,0
obesidade,0
espirituosa,0
inchados,0
gordura,0
gorduras,0
gordurinha,0
gordurinhas,0
gostosa,0
inchada,0
inchado,0
inchando,0
obesas,0
inchaç*,0
inchaço,0
jumbo,0
magrinha,0
morsa,0
obes*,0
obesa,0
roliço,0
sobrepeso,0
trambolho,0
encosto,0
gordas,0
gord*,0
deus*,0
fofoc*,0
diabos,0
diabólic,0
encontrei,0
enfeitiç*,0
adorar,0
enfeitiçada,0
enfeitiçadas,0
enfeitiçado,0
