fold,accuracy,precision,recall,f1,roc_auc,time_sec
1,0.8283333333333334,0.8208469055374593,0.84,0.8303130148270181,0.9173,1928.5019674301147
2,0.8683333333333333,0.8622950819672132,0.8766666666666667,0.8694214876033058,0.9268,1926.0503542423248
3,0.8366666666666667,0.821656050955414,0.86,0.8403908794788274,0.9124222222222221,1938.5458357334137
4,0.855,0.8317757009345794,0.89,0.8599033816425121,0.9367333333333334,1941.0846152305603
5,0.8766666666666667,0.8487654320987654,0.9166666666666666,0.8814102564102564,0.9378666666666666,1950.6575438976288
