model,vocab_size_text,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,222554,4.485794305801392,0.7809629436325679,0.022540061855900403,0.765696580566811,0.02235753934368623,0.8094735006973501,0.03302964871287264,0.7866574574942305,0.023209214604074685,0.859052678986518,0.020527729598771766,4081.308743238449
BernoulliNB,222554,0.4255337715148926,0.6090970772442589,0.0096512250042443,0.5621029535020614,0.006271336041795531,0.9841178521617853,0.005566627234528099,0.7154892418861089,0.004969627266381996,0.8393929422361692,0.023896874870028815,4081.308743238449
MultinomialNB,222554,0.19289112091064453,0.7822190327070286,0.024986230928968567,0.7817516069427329,0.02810720960589375,0.7835774058577406,0.03740857573404215,0.7820973650728801,0.026193716416266992,0.8590244944211994,0.015046939058383802,4081.308743238449
LinearSVC,222554,0.7406890392303467,0.7955706332637439,0.015803221621493033,0.783172114010243,0.02035517735175887,0.8178347280334728,0.02572712395679068,0.7997639955025984,0.015736052355660706,0.8794038673872617,0.01845002105307124,4081.308743238449
KNeighborsClassifier,222554,48.40375900268555,0.6554175365344468,0.02136771066625119,0.7017548945878309,0.030777150049423364,0.5422419804741981,0.056811796696528874,0.6097442205969617,0.03487651796725948,0.719097984948861,0.018614847052939913,4081.308743238449
SGDClassifier,222554,0.20973515510559082,0.798910925539318,0.019127529440527237,0.7845845737908087,0.028113172198792013,0.8253695955369595,0.015111510845632186,0.8041053667366415,0.01581954907719545,0.8829032572059508,0.018482075050313723,4081.308743238449
RandomForestClassifier,222554,185.45064544677734,0.7626061238691719,0.021906741193443505,0.739731681523961,0.024332260695706983,0.8111645746164575,0.0402038926064326,0.7731181481278498,0.023010100296710974,0.8518337764411902,0.02191907077280903,4081.308743238449
GradientBoostingClassifier,222554,1430.9016811847687,0.8623260264439805,0.012190663616453414,0.9216674211305482,0.018327277698528027,0.7919735006973501,0.02044254581004103,0.8516769438954286,0.013778642841119921,0.9328264470013947,0.013200117769943167,4081.308743238449
MLPClassifier,222554,2405.192155122757,0.7642840988169798,0.022031700317861776,0.7599154869685867,0.033593029512833536,0.7768654114365411,0.05474693276820181,0.7663981110775264,0.024582823168117454,0.8470247123430962,0.018193531041028107,4081.308743238449
