model,vocab_size_text,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,16362,0.782212495803833,0.8281149965205289,0.01579360898543484,0.8331808912338527,0.02404298622268097,0.8211959553695956,0.024871174765820965,0.8267212436060939,0.015729113690303293,0.9061161523709902,0.01449827295546345,244.66452050209045
BernoulliNB,16362,0.09428811073303223,0.7000330549756437,0.023237199491099904,0.6417320851377772,0.01871542942635684,0.905568340306834,0.022295263276577226,0.7510173038749942,0.01782366159117385,0.8482463389121341,0.01919858835278555,244.66452050209045
MultinomialNB,16362,0.06996035575866699,0.786811934585943,0.014428847575058383,0.7350979607660878,0.020250894862937387,0.8980299860529986,0.026275448271223183,0.8079669938583732,0.011800378203209796,0.8717229195722919,0.014068778970882517,244.66452050209045
LinearSVC,16362,2.098724603652954,0.8181097773138483,0.018108971793940328,0.8252829051076862,0.026381605289661735,0.8078382147838216,0.019935559075236226,0.8161281993379177,0.016741498264438964,0.8930532019990702,0.010921579945573625,244.66452050209045
KNeighborsClassifier,16362,1.8402447700500488,0.6107515657620042,0.029682354369616335,0.5760901938550849,0.021805141206955588,0.8387935843793585,0.03294663116801264,0.6827948753525888,0.022482055393457722,0.6635956822408182,0.03795115947359724,244.66452050209045
SGDClassifier,16362,0.06857538223266602,0.7997433890048714,0.02161179523542782,0.8138690174118797,0.033552614982748495,0.7785774058577406,0.018714800464639733,0.7954188235130587,0.019590720273427644,0.8860294049279405,0.014795673108350529,244.66452050209045
RandomForestClassifier,16362,33.31862425804138,0.8105784620737648,0.02796469257814746,0.8167215901549577,0.038225121766039316,0.8019839609483961,0.01688095840670468,0.8090667595414474,0.02587335340375322,0.8963694502556951,0.0195908722946318,244.66452050209045
GradientBoostingClassifier,16362,81.61758184432983,0.8677522616562283,0.005352619266342684,0.9324654798571294,0.010623708479677762,0.7928138075313808,0.014614045149982756,0.8568332128374442,0.006737534268938515,0.936470863842399,0.011930101801435404,244.66452050209045
MLPClassifier,16362,120.9761426448822,0.7951435281837161,0.026487972909130932,0.7820668731609353,0.03936745026457301,0.8212029288702929,0.011592678847604941,0.8006202279789421,0.021462167708275373,0.8697883251975826,0.020167449392898832,244.66452050209045
