model,vocab_size_text,execution_time,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std,roc_auc_avg,roc_auc_std,total_time
LogisticRegression,164387,3.4943058490753174,0.803912665274878,0.02166670337094894,0.7928143409148272,0.02895458570099649,0.8236924686192468,0.01752959706615925,0.8076990711665687,0.019435732616910124,0.8888836442352395,0.016435376740568247,3453.142600297928
BernoulliNB,164387,0.25292444229125977,0.5894859081419623,0.006293615481909122,0.5494709430473077,0.0035854620074417475,0.9882914923291493,0.01038692102214097,0.7062549768542116,0.004812891921623963,0.8466721001859601,0.018533985040347183,3453.142600297928
MultinomialNB,164387,0.13422226905822754,0.745517571329158,0.008680026803911505,0.6799923350163353,0.010218483110425162,0.9272942817294283,0.014715633945343864,0.7844736015957537,0.005648002625705493,0.8299847745234775,0.013369303244211157,3453.142600297928
LinearSVC,164387,12.408019065856934,0.8093423799582462,0.02321294872811437,0.8118429131118978,0.029911320161450636,0.8061436541143653,0.023726124567745907,0.8086504661184628,0.021830606279104135,0.8933508397257091,0.013006269146081457,3453.142600297928
KNeighborsClassifier,164387,1.5581176280975342,0.5073008002783577,0.006085251807347516,0.5034034096499855,0.0031113124894557847,0.9924965132496514,0.009278357329748558,0.6679782913049921,0.003746015463872971,0.5213818282194328,0.010040022972203619,3453.142600297928
SGDClassifier,164387,0.13543200492858887,0.7813900487125958,0.023016187030420292,0.7862504489808877,0.018066892119579372,0.7719246861924686,0.039673332112277276,0.7786751991970691,0.026319251939822288,0.8683651063458855,0.01762633833158389,3453.142600297928
RandomForestClassifier,164387,198.62565183639526,0.7721938065414057,0.02753900148967419,0.7526045316296273,0.04238370072623945,0.817015341701534,0.03299612830256265,0.7821372715908236,0.021074164344041073,0.8558957243723849,0.029145818295011765,3453.142600297928
GradientBoostingClassifier,164387,1708.772583246231,0.8473025400139178,0.008395812405393496,0.9208885823261823,0.021703988953148505,0.7602266387726638,0.018149215820112176,0.8325212174560678,0.009628823949053482,0.9167639615295211,0.010080698371182806,3453.142600297928
MLPClassifier,164387,1506.0830528736115,0.7888891788448156,0.0192333674580112,0.7758405337355658,0.027816992841223458,0.814494421199442,0.0370938515548156,0.7938126782685208,0.019126983778220506,0.8607032484890749,0.022269441968468934,3453.142600297928
