Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Vocab_size,total_experiment_time_sec
LogisticRegression,0.8029999999999999,0.7904918908950881,0.826,0.8076454576853574,0.8820711111111113,0.01730125236314796,0.02533509818355334,0.004898979485566348,0.013744615600347253,0.01380663751628803,768,4555.4618809223175
BernoulliNB,0.7503333333333333,0.7242755463084782,0.8099999999999999,0.7643483597785028,0.7735377777777778,0.010349449797506665,0.015958399488540047,0.023475755815545334,0.009098200749310847,0.013803083570325206,768,4555.4618809223175
MultinomialNB,0.7503333333333333,0.7232008537477165,0.8126666666666666,0.7649496366684816,0.7867377777777778,0.010077477638553984,0.015637503016109618,0.02264705033528403,0.00856291132907073,0.01681224142487837,768,4555.4618809223175
LinearSVC,0.795,0.7810573302591961,0.8213333333333332,0.800444255462151,0.8670933333333334,0.020628997929021054,0.027018768760610785,0.01543444920372029,0.01768303644510585,0.013853606028756557,768,4555.4618809223175
KNN,0.7630000000000001,0.7351099713188585,0.8240000000000001,0.7766762216006491,0.8249344444444444,0.014197026292697892,0.020271459723313803,0.02004439517116386,0.011618212521713607,0.018076486807691455,768,4555.4618809223175
SGDClassifier,0.7736666666666666,0.7912020841135528,0.7746666666666666,0.7699956749573925,0.8753977777777777,0.009213516640723519,0.0735299779108237,0.12662455440307685,0.03294932680200135,0.015234318632532618,768,4555.4618809223175
RandomForest,0.78,0.7799239846042122,0.7826666666666666,0.7806745340061528,0.8573722222222223,0.012780193008453879,0.02637216430613221,0.020805982045769663,0.009195076603430746,0.015262345741427333,768,4555.4618809223175
GradientBoosting,0.7816666666666666,0.7793899478161278,0.7879999999999999,0.7833085706780948,0.8618933333333334,0.020763215336529948,0.030396414828391123,0.012400716825158852,0.016529728765317997,0.020704937801952324,768,4555.4618809223175
MLP,0.795,0.7891413554342356,0.8086666666666666,0.7981452173053774,0.8772622222222223,0.0198606254796883,0.034924746620817425,0.011274356350191835,0.013841599081835054,0.014094349800409295,768,4555.4618809223175
