Modelo,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Accuracy_std,Precision_std,Recall_std,F1_std,AUC_std,Vocab_size,total_experiment_time_sec
LogisticRegression,0.7556666666666667,0.7429207166725413,0.7826666666666667,0.7621191348722182,0.8385133333333334,0.009043106644167012,0.013902338192669209,0.011813363431112887,0.007124068002672771,0.012943744187067655,768,1650.3148784637451
BernoulliNB,0.691,0.6684671534669576,0.7586666666666666,0.7103147294626835,0.7604777777777778,0.02386536309289168,0.021073326941960024,0.038964371189873184,0.024169447137694394,0.023325941686361908,768,1650.3148784637451
MultinomialNB,0.6933333333333332,0.6670596336065735,0.774,0.7159794522997738,0.764588888888889,0.022211108331943605,0.022027340455683907,0.03979949748426478,0.022086915881906213,0.023999048335041424,768,1650.3148784637451
LinearSVC,0.7510000000000001,0.7445016778564112,0.7653333333333333,0.7543919770547729,0.8327822222222222,0.005011098792790967,0.01217190346540629,0.023532483459630403,0.007402832418628736,0.01017483363530688,768,1650.3148784637451
KNN,0.6703333333333333,0.628939023501606,0.8320000000000001,0.7162753887665766,0.7393155555555555,0.01347425528760516,0.012627783821765992,0.010022197585581925,0.009450269448399216,0.010524758230119526,768,1650.3148784637451
SGDClassifier,0.7356666666666667,0.724170598202605,0.7946666666666667,0.7493736880094297,0.8369577777777778,0.02471167065713415,0.06275061293401121,0.10135964570665078,0.016234764897799014,0.011395562055813692,768,1650.3148784637451
RandomForest,0.7143333333333334,0.7144738553512796,0.7166666666666666,0.7150359067127171,0.7988744444444446,0.01569146972791977,0.02436971020598037,0.022211108331943587,0.012942436037807243,0.017937755409632532,768,1650.3148784637451
GradientBoosting,0.7473333333333334,0.7378694493413036,0.768,0.7523186747061745,0.8247333333333333,0.010466878978738412,0.013053543496790167,0.02445858177045886,0.011900383852166772,0.009523519942687388,768,1650.3148784637451
MLP,0.7463333333333333,0.7332764179242519,0.7746666666666666,0.7527776344100595,0.8308911111111111,0.015253414918196744,0.01026209652233806,0.04354308211415448,0.020912823384671268,0.0169688012918989,768,1650.3148784637451
